time,open,high,low,close,Volume
1736123400,19930.31,19957.92,19930.31,19947.9,37
1736123700,19947.9,19947.92,19941.17,19942.92,42
1736124000,19942.92,19945.92,19938.9,19940.92,52
1736124300,19940.92,19949.92,19940.92,19949.9,22
1736124600,19949.9,19951.17,19946.15,19947.92,51
1736124900,19947.92,19950.67,19941.92,19945.92,53
1736125200,19945.92,19945.92,19937.67,19945.92,47
1736125500,19945.92,19947.67,19942.67,19944.67,35
1736125800,19944.67,19957.66,19944.65,19957.16,42
1736126100,19957.16,19957.92,19954.65,19955.67,49
1736126400,19955.67,19956.67,19951.65,19954.15,47
1736126700,19954.15,19955.17,19950.92,19950.92,15
1736127000,19950.92,19961.16,19950.92,19957.91,35
1736127300,19957.91,19961.15,19952.91,19958.9,45
1736127600,19958.9,19959.67,19955.16,19956.66,47
1736127900,19956.66,19961.66,19955.92,19955.92,37
1736128200,19955.92,19958.65,19954.67,19955.66,45
1736128500,19955.66,19960.92,19955.65,19959.92,32
1736128800,19959.92,19959.92,19950.66,19951.92,33
1736129100,19951.92,19960.67,19951.9,19959.67,53
1736129400,19959.67,19970.66,19959.65,19967.66,41
1736129700,19967.66,19968.65,19965.65,19967.15,33
1736130000,19967.15,19967.17,19962.91,19964.9,18
1736130300,19964.9,19964.92,19956.67,19957.65,52
1736130600,19957.65,19962.9,19956.67,19960.91,34
1736130900,19960.91,19964.15,19959.67,19964.15,23
1736131200,19964.15,19964.15,19955.9,19957.67,34
1736131500,19957.67,19963.92,19957.66,19963.92,29
1736131800,19963.92,19968.67,19961.65,19967.66,40
1736132100,19967.66,19969.67,19964.66,19968.66,22
1736132400,19968.66,19974.15,19967.67,19973.17,54
1736132700,19973.17,19977.17,19972.66,19972.9,26
1736133000,19972.9,19976.91,19972.9,19976.91,8
1736133300,19976.91,19978.67,19975.9,19977.15,23
1736133600,19977.15,19982.66,19977.15,19978.67,26
1736133900,19978.67,19978.67,19974.9,19976.9,40
1736134200,19976.9,19977.92,19974.67,19974.67,20
1736134500,19974.67,19978.66,19974.65,19978.66,17
1736134800,19978.66,19979.67,19972.91,19977.67,26
1736135100,19977.67,19977.67,19974.9,19974.92,30
1736135400,19974.92,19978.16,19974.92,19974.92,17
1736135700,19974.92,19974.92,19970.16,19972.65,34
1736136000,19972.65,19975.67,19971.65,19971.65,12
1736136300,19971.65,19971.65,19967.65,19969.67,30
1736136600,19969.67,19970.67,19966.15,19966.15,42
1736136900,19966.15,19966.67,19964.65,19966.17,25
1736137200,19966.17,19974.9,19966.17,19974.9,24
1736137500,19974.9,19979.66,19974.9,19978.67,29
1736137800,19978.67,19983.67,19978.67,19980.66,34
1736138100,19980.66,19983.17,19978.66,19981.66,22
1736138400,19981.66,19981.66,19976.91,19977.66,19
1736138700,19977.66,19981.67,19977.66,19979.65,12
1736139000,19979.65,19981.17,19977.66,19980.16,16
1736139300,19980.16,19986.67,19980.16,19985.66,35
1736139600,19985.66,19991.17,19985.65,19989.65,28
1736139900,19989.65,19994.16,19988.65,19994.16,43
1736140200,19994.16,19998.15,19993.15,19998.15,36
1736140500,19998.15,19998.16,19990.66,19993.67,43
1736140800,19993.67,19997.67,19993.65,19996.65,45
1736141100,19996.65,19997.67,19992.67,19993.67,39
1736141400,19993.67,20000.67,19993.67,20000.66,38
1736141700,20000.66,20002.65,19999.65,20000.65,27
1736142000,20000.65,20003.16,19998.66,19998.66,28
1736142300,19998.66,20000.67,19995.92,20000.67,13
1736142600,20000.67,20007.67,20000.67,20006.67,43
1736142900,20006.67,20007.67,20003.16,20007.15,30
1736143200,20007.15,20015.65,20007.15,20012.67,44
1736143500,20012.67,20014.16,20007.15,20007.9,47
1736143800,20007.9,20011.17,20007.9,20011.17,18
1736144100,20011.17,20018.65,20011.16,20016.92,25
1736144400,20016.92,20020.17,20014.66,20020.17,35
1736144700,20020.17,20021.17,20014.92,20019.66,34
1736145000,20019.66,20027.16,20018.15,20026.15,51
1736145300,20026.15,20029.16,20023.65,20026.17,37
1736145600,20026.17,20028.16,20022.16,20024.67,62
1736145900,20024.67,20026.67,20018.66,20019.15,60
1736146200,20019.15,20020.65,20007.67,20013.66,73
1736146500,20013.66,20019.15,20011.66,20013.16,58
1736146800,20013.16,20024.66,19992.15,19993.17,246
1736147100,19993.17,19993.17,19966.15,19967.17,241
1736147400,19967.17,19976.66,19962.15,19975.16,159
1736147700,19975.16,19979.15,19971.16,19975.67,142
1736148000,19975.67,19995.67,19975.15,19992.16,171
1736148300,19992.16,20000.65,19992.16,19999.17,146
1736148600,19999.17,20001.17,19990.15,19994.66,125
1736148900,19994.66,20007.66,19982.15,19986.16,212
1736149200,19986.16,20006.65,19986.16,20000.16,147
1736149500,20000.16,20005.66,19995.15,20000.17,101
1736149800,20000.17,20005.17,19998.16,20000.66,97
1736150100,20000.66,20007.17,19991.65,19996.16,245
1736150400,19996.16,20015.52,19987.91,20015.5,874
1736150700,20015.5,20023.01,20001.51,20011.5,564
1736151000,20011.5,20013.51,19995.52,20007,341
1736151300,20007,20010.52,19963.5,19967.51,431
1736151600,19967.51,19981.5,19955,19955.52,353
1736151900,19955.52,19970.51,19942.02,19970.51,439
1736152200,19970.51,19977.02,19961.51,19967.5,518
1736152500,19967.5,19979.52,19963.02,19971.52,397
1736152800,19971.52,19980.52,19968.51,19973.52,404
1736153100,19973.52,19998,19971.5,19989.52,296
1736153400,19989.52,20011.01,19989.52,20008.52,324
1736153700,20008.52,20009.52,19996.02,20001,262
1736154000,20001,20027.51,19999.91,20017.02,516
1736154300,20017.02,20018,19996.51,20006.52,474
1736154600,20006.52,20018.5,20003.51,20010.5,319
1736154900,20010.5,20013.02,20000,20011.02,303
1736155200,20011.02,20032.52,20010.51,20015.5,466
1736155500,20015.5,20017.52,20003.91,20015.01,243
1736155800,20015.01,20025,20011.52,20011.52,323
1736156100,20011.52,20017.02,20008.52,20012.51,251
1736156400,20012.51,20014.5,20001.02,20007.51,243
1736156700,20007.51,20016.51,20005.5,20011,203
1736157000,20011,20021.52,20005.51,20018.51,238
1736157300,20018.51,20023,20011.5,20016.5,203
1736157600,20016.5,20016.5,19995.52,19998.01,290
1736157900,19998.01,20000.51,19989,19990.5,200
1736158200,19990.5,19991.51,19973.01,19984.51,284
1736158500,19984.51,19999.01,19982.51,19998.5,181
1736158800,19998.5,20007.52,19991.01,20006.5,218
1736159100,20006.5,20007.5,19996.01,20004.52,138
1736159400,20004.52,20013.52,19995.51,20013.52,210
1736159700,20013.52,20018.5,20011.51,20016.52,181
1736160000,20016.52,20018.02,20010.5,20013.51,122
1736160300,20013.51,20015.52,20007.52,20010.51,185
1736160600,20010.51,20012.02,19994,19999.5,220
1736160900,19999.5,20000.51,19994.01,20000.51,144
1736161200,20000.51,20011.51,19974.01,19992.51,642
1736161500,19992.51,20028.02,19991.51,20027.51,400
1736161800,20027.51,20073.02,20027.5,20069.5,724
1736162100,20069.5,20146.52,20069.01,20146.01,992
1736162400,20146.01,20161.51,20128.52,20160.02,1052
1736162700,20160.02,20182.51,20152.02,20181.51,923
1736163000,20181.51,20200.51,20158.51,20169.02,1005
1736163300,20169.02,20179.52,20160.5,20162.5,709
1736163600,20162.5,20191.02,20162.5,20187.5,552
1736163900,20187.5,20199.51,20178.51,20180,464
1736164200,20180,20195,20156.02,20193.5,624
1736164500,20193.5,20195.01,20180.5,20191.52,492
1736164800,20191.52,20196.5,20176.91,20187.51,595
1736165100,20187.51,20201.01,20181.51,20196.52,504
1736165400,20196.52,20215.52,20191.01,20215.02,337
1736165700,20215.02,20219.5,20208.5,20214.5,401
1736166000,20214.5,20223.5,20206.5,20215.51,396
1736166300,20215.51,20224.01,20206.01,20210.02,390
1736166600,20210.02,20217.51,20181.51,20195.52,601
1736166900,20195.52,20202.52,20187.92,20202.51,375
1736167200,20202.51,20206,20192.01,20201.52,262
1736167500,20201.52,20202.5,20187.02,20192.5,367
1736167800,20192.5,20195,20176.5,20184.52,368
1736168100,20184.52,20190.01,20176.5,20183.01,309
1736168400,20183.01,20183.01,20164.01,20168.5,382
1736168700,20168.5,20169,20156.02,20157,342
1736169000,20157,20157.51,20127.51,20127.51,417
1736169300,20127.51,20134.52,20113,20132,417
1736169600,20132,20144.02,20127.01,20142.02,362
1736169900,20142.02,20153.52,20140,20146.5,305
1736170200,20146.5,20152,20137,20138.02,301
1736170500,20138.02,20146.52,20132,20146.51,231
1736170800,20146.51,20166.02,20145.5,20165.01,332
1736171100,20165.01,20176.02,20163.5,20170.51,264
1736171400,20170.51,20183.51,20167,20181.5,228
1736171700,20181.5,20183.52,20167.52,20172.5,217
1736172000,20172.5,20183.52,20170.5,20171.52,186
1736172300,20171.52,20172.52,20159.51,20165.01,219
1736172600,20165.01,20166.02,20152.51,20156.01,227
1736172900,20156.01,20157.01,20018.52,20035.52,3155
1736173200,20035.52,20061.02,20025.5,20058.52,1297
1736173500,20058.52,20110.01,20053.51,20102.52,781
1736173800,20102.52,20102.52,20076,20085.5,1269
1736174100,20085.5,20087.52,20061.52,20070.51,806
1736174400,20070.51,20100.01,20062.01,20091.92,643
1736174700,20091.92,20123.01,20091.9,20120.02,687
1736175000,20120.02,20130.52,20109.5,20125,636
1736175300,20125,20137.02,20113.51,20127.91,503
1736175600,20127.91,20144.52,20122.51,20140.02,648
1736175900,20140.02,20153.01,20138.5,20150.5,546
1736176200,20150.5,20154.5,20121.5,20134.5,665
1736176500,20134.5,20147.02,20116.01,20142.51,524
1736176800,20142.51,20157.02,20137.52,20149.52,444
1736177100,20149.52,20160.01,20143.5,20158.52,364
1736177400,20158.52,20170.52,20145,20166.52,491
1736177700,20166.52,20169.52,20156.5,20169.52,405
1736178000,20169.52,20183.51,20169.01,20178.5,425
1736178300,20178.5,20199.01,20175.92,20190.51,528
1736178600,20190.51,20215.51,20190.51,20215.51,533
1736178900,20215.51,20230.01,20211.5,20221.52,557
1736179200,20221.52,20230.51,20208.52,20216.52,506
1736179500,20216.52,20218.01,20199.51,20201.51,418
1736179800,20201.51,20214.02,20201.5,20211.52,334
